 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
   460   -2.0180  -705635.490293  -705630.277448
   461   -2.0829  -705023.487542  -705012.579506
   462   -2.0234  -705451.210288  -705444.857714
   463   -2.0183  -705320.176350  -705314.013137
   464   -2.0263  -705665.147645  -705656.374625
   465   -1.9392  -705409.883927  -705402.930825
   466   -2.0346  -705607.278619  -705600.831124
   467   -1.9160  -705454.372465  -705443.322529
   468   -1.9068  -705461.896573  -705455.006339
   469   -1.9242  -705457.504185  -705449.481466
   470   -1.8867  -705584.915175  -705577.231307
   471   -2.0881  -705302.792360  -705295.999513
   472   -1.8902  -705517.762872  -705509.273824
   473   -1.8711  -705442.875216  -705436.432109
   474   -1.9760  -705431.765069  -705422.607244
   475   -1.8614  -705770.721346  -705762.176113
   476   -1.9066  -705415.815587  -705408.556117
   477   -1.8083  -705293.999593  -705287.246338
   478   -1.9118  -705120.375898  -705118.538993
   479   -2.1019  -705783.290244  -705773.032273
   480   -2.0393  -705463.478832  -705458.140635
   481   -2.0822  -705657.440565  -705648.820315
   482   -1.9652  -705661.357745  -705654.786673
   483   -2.0332  -705437.528743  -705429.098828
   484   -1.8892  -705738.058691  -705727.134647
   485   -2.0573  -705503.876921  -705497.549150
   486   -1.8183  -705177.101908  -705163.785675
   487   -1.9725  -705617.693968  -705611.404699
   488   -1.8999  -705647.913632  -705642.844239
   489   -1.7540  -705465.402236  -705457.478162
   490   -2.0070  -705828.836082  -705822.065422
   491   -1.9116  -705415.330838  -705409.242385
   492   -2.1029  -705281.138328  -705274.614983
   493   -2.0586  -705583.570654  -705572.902384
   494   -1.8983  -705163.761783  -705156.655932
   495   -1.9359  -705354.992625  -705350.883124
   496   -2.0175  -705492.528377  -705487.389812
   497   -1.8137  -705457.386825  -705449.849496
   498   -1.8221  -705622.252525  -705615.401935
   499   -1.9394  -705619.467459  -705613.266745
   500   -2.0430  -705452.494232  -705445.681082
   501   -2.0165  -705274.858764  -705267.577564
   502   -2.0852  -705652.914358  -705640.899567
   503   -1.8986  -705461.236335  -705452.620746
   504   -1.8482  -705467.535242  -705454.127519
   505   -1.7475  -705382.247662  -705379.846468
   506   -2.0123  -705401.459527  -705396.289413
   507   -1.7991  -705645.865608  -705636.685767
   508   -2.0488  -705180.637462  -705169.208911
   509   -1.7880  -705514.045860  -705507.476051
   510   -1.9554  -705406.625641  -705398.803199
   511   -1.7366  -705847.465303  -705839.862352
   512   -2.0018  -705376.307627  -705368.824078
   513   -1.9388  -705486.054371  -705480.895970
   514   -2.0632  -705193.179840  -705186.839333
   515   -2.0697  -705573.476650  -705569.613270
   516   -1.9810  -705885.287972  -705878.776062
   517   -2.0036  -705660.618618  -705659.611238
   518   -1.9599  -705395.891169  -705385.588677
   519   -1.7672  -705496.695902  -705487.775689
   520   -2.0103  -705551.158305  -705543.852323
   521   -1.9959  -705421.167212  -705416.155835
   522   -1.8853  -705770.390040  -705765.466870
   523   -2.0162  -705357.285304  -705346.772110
   524   -1.7755  -705347.080503  -705339.698976
   525   -1.9615  -705416.197689  -705410.509161
   526   -1.9847  -705406.422351  -705399.516152
   527   -2.0135  -705221.094958  -705215.095408
   528   -2.0367  -705631.112961  -705625.077350
   529   -2.1259  -705722.205152  -705719.212269
   530   -1.7869  -705364.590324  -705361.092675
   531   -1.8893  -705640.390881  -705636.763052
   532   -2.0262  -705647.900170  -705638.671535
   533   -2.0057  -705532.806007  -705523.909042
   534   -2.1402  -705725.571416  -705716.552414
   535   -1.8575  -705742.125518  -705732.826894
   536   -1.8060  -705518.509094  -705511.444989
   537   -2.0538  -705675.509431  -705666.206647
   538   -1.9284  -705457.199922  -705447.384101
   539   -2.0374  -705387.754985  -705378.922122
   540   -1.9670  -705615.894197  -705603.161015
   541   -2.0594  -705763.531029  -705759.725034
   542   -2.0057  -705376.593342  -705365.463688
   543   -1.9418  -705546.955389  -705537.907802
   544   -1.9019  -705754.958259  -705748.865076
   545   -1.9258  -705835.722308  -705824.049709
   546   -1.9639  -705593.865081  -705587.531568
   547   -1.9039  -705716.376970  -705710.456807
   548   -1.9575  -705879.723355  -705871.321591
   549   -1.9834  -705535.522565  -705528.542851
   550   -1.8318  -705591.008863  -705582.658953
   551   -1.9779  -705639.994900  -705635.683669
   552   -1.8733  -705404.387553  -705395.059967
   553   -1.9322  -705467.896765  -705456.132612
   554   -1.8697  -705523.320787  -705513.254216
   555   -1.8780  -705729.854296  -705720.766503
   556   -1.8970  -705610.560111  -705604.667373
   557   -1.9841  -705472.582866  -705467.588469
   558   -2.1451  -705618.113641  -705611.381947
   559   -2.0286  -705458.739846  -705451.809735
   560   -1.8760  -705629.897030  -705619.556941
   561   -1.9299  -705492.501117  -705488.396255
   562   -1.9610  -705555.004160  -705546.481308
   563   -1.9352  -705598.464787  -705593.211189
   564   -2.0205  -705383.621341  -705371.380370
   565   -1.8484  -705753.146990  -705750.367021
   566   -1.8855  -705242.882605  -705233.093174
   567   -2.0204  -705376.151060  -705374.549902
   568   -1.9328  -705334.693159  -705327.957353
   569   -2.0017  -705421.968800  -705406.855282
   570   -1.9884  -705667.499771  -705662.778543
   571   -2.0270  -705535.578388  -705531.751625
   572   -1.9980  -705768.514169  -705758.176835
   573   -1.9022  -705557.117369  -705546.791963
   574   -1.9347  -705432.190640  -705426.938331
   575   -1.9387  -705496.208224  -705491.743058
   576   -1.9436  -705433.978288  -705430.062911
   577   -1.9012  -705519.776496  -705514.802081
   578   -2.0340  -705514.938712  -705513.173119
   579   -1.9980  -705591.995634  -705586.670897
   580   -2.0159  -705677.014405  -705673.949070
   581   -1.9104  -705530.727501  -705520.437634
