 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
   552    0.2276  -698338.626428  -698335.593009
   553    0.1673  -698532.921687  -698527.820158
   554    0.1914  -698629.826298  -698627.331985
   555    0.1806  -698520.572616  -698516.467925
   556    0.2268  -698750.004896  -698746.245721
   557    0.2560  -698567.694695  -698564.288520
   558    0.2180  -698564.360760  -698558.804038
   559    0.0089  -698508.306831  -698506.686522
   560    0.3642  -698744.198536  -698741.400587
   561    0.2498  -698439.309149  -698433.148039
   562    0.3038  -698702.342380  -698698.944859
   563    0.1271  -698733.208584  -698728.824094
   564    0.2647  -698485.845156  -698483.526849
   565    0.2496  -698812.678998  -698806.713808
   566    0.1264  -698301.171417  -698294.553823
   567    0.0579  -698849.942006  -698845.840670
   568    0.1964  -698373.365563  -698370.700153
   569    0.2338  -698544.733866  -698538.836182
   570    0.2339  -698757.119146  -698752.960346
   571    0.1502  -698620.603450  -698618.639117
   572    0.3559  -698734.630973  -698730.571907
   573    0.2951  -698595.637108  -698591.311262
   574    0.2644  -698736.229260  -698732.150801
   575    0.2238  -698626.885987  -698625.449618
   576    0.3627  -698336.599890  -698334.444380
   577    0.2986  -698438.791679  -698437.837866
   578    0.1413  -698621.060354  -698616.073343
   579    0.2041  -698489.143607  -698486.509417
   580    0.2265  -698684.562208  -698681.269192
   581    0.2931  -698904.930991  -698900.287837
   582    0.2190  -698560.608802  -698557.999963
   583    0.1869  -698256.531724  -698253.559697
   584    0.0607  -698768.136514  -698764.203510
   585    0.1729  -698500.569572  -698498.149122
   586    0.1756  -698550.764014  -698547.005108
   587    0.0795  -698500.165607  -698498.616669
   588    0.0769  -698664.214112  -698661.528797
   589    0.2493  -698454.036142  -698449.202948
   590    0.1934  -698539.739352  -698538.406640
   591    0.1717  -698655.103035  -698652.574508
   592    0.2856  -698457.798009  -698451.839913
   593    0.1551  -698358.911991  -698353.681098
   594    0.0256  -698492.510591  -698490.134752
   595    0.1037  -698600.135062  -698598.338095
   596    0.1737  -698242.184804  -698238.412884
   597    0.1305  -698272.569839  -698271.719287
   598    0.1295  -698872.508926  -698869.599777
   599    0.0635  -698538.468446  -698537.725382
   600    0.2260  -698409.995739  -698404.323520
   601    0.2320  -698692.064746  -698685.852549
   602    0.1855  -698832.981729  -698830.352768
   603    0.1167  -698511.073354  -698506.804045
   604    0.3479  -698545.064799  -698542.025609
   605    0.1227  -698594.415035  -698590.807455
   606    0.1541  -698498.230957  -698493.095125
   607    0.0737  -698415.433802  -698410.507342
   608    0.1879  -698424.314476  -698423.450624
   609    0.0862  -698686.224599  -698681.923990
   610    0.1600  -698495.178172  -698491.147328
   611    0.0496  -698674.895816  -698671.180641
   612    0.1038  -698648.340304  -698645.129461
   613    0.1590  -698365.759937  -698359.220984
   614    0.2341  -698351.350097  -698347.008915
   615    0.0817  -698485.844083  -698481.632065
   616    0.0467  -698307.794725  -698303.163964
